Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32,count_matches,count_diff,count
2,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
10,root vegetables,other vegetables,butter,curd,whipped/sour cream,uht-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,True,0,10
4,sausage,rolls/buns,cat food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
4,ham,grapes,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
10,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,True,0,10
5,whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,whole milk,curd,yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
3,packaged fruit/vegetables,brown bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
7,rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
6,ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
3,rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
7,other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
2,sausage,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,sausage,beef,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
5,frankfurter,tropical fruit,rolls/buns,brown bread,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
3,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
2,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,sausage,whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
8,tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
1,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
7,whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
8,frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
3,whole milk,meat spreads,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
1,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
4,other vegetables,whole milk,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,citrus fruit,whole milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
5,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
10,root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,True,0,10
4,root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
7,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
7,sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
2,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
1,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
3,fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
4,citrus fruit,butter milk,yogurt,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
9,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
1,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,grapes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
9,sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
10,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent,,,,,,,,,,,,,,,,,,,,,,,True,0,10
3,whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
2,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
9,sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
3,frankfurter,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
10,sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,,,,,,,,,,,,,,,,,,,,,,True,0,10
2,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
6,beef,citrus fruit,berries,root vegetables,brown bread,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
7,whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
1,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
10,frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,,True,0,10
2,packaged fruit/vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
8,whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
2,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,citrus fruit,berries,uht-milk,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
3,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
6,hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
7,hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
3,whole milk,cream cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
8,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
4,frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
4,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
15,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,True,0,15
1,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
3,sausage,butter milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
1,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
5,whole milk,yogurt,beverages,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
1,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
3,tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,rolls/buns,instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
5,frankfurter,sausage,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
3,other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
7,citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
2,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
10,frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,,True,0,10
5,butter milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
6,hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
2,pasta,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
6,other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
7,sausage,pork,citrus fruit,dessert,white bread,dishes,candles,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
6,grapes,other vegetables,curd,dessert,yogurt,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
9,root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
2,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
1,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
5,whole milk,rolls/buns,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
5,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
5,beef,herbs,flour,cling film/bags,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,whole milk,butter,dessert,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
3,frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
3,tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
4,finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,beverages,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,hamburger meat,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
3,whole milk,pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
3,finished products,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
8,ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
5,curd,butter milk,cocoa drinks,salty snack,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
8,curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
4,whole milk,cream cheese,cereals,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,whole milk,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
2,dessert,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,sausage,soft cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
5,other vegetables,bottled water,waffles,dishes,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
3,ham,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,other vegetables,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
2,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,soda,bottled beer,white wine,prosecco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,herbs,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
23,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles,,,,,,,,,,True,0,23
2,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
7,curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
6,frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
1,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
5,curd,salt,liquor (appetizer),detergent,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
7,beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
5,pork,beef,pip fruit,herbs,spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
5,frankfurter,citrus fruit,uht-milk,margarine,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
3,sausage,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
1,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,curd,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,whole milk,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,rolls/buns,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
5,pork,root vegetables,other vegetables,whole milk,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
2,citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
6,butter,yogurt,bottled water,soda,make up remover,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
4,condensed milk,sugar,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,sausage,other vegetables,yogurt,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,whole milk,beverages,uht-milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
6,sausage,pork,beef,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
1,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,beverages,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
2,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
2,cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,sausage,soda,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
12,sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware,,,,,,,,,,,,,,,,,,,,,True,0,12
2,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
1,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
6,sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
4,meat,curd,bottled beer,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
8,frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
3,ice cream,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
6,tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
12,meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese,rolls/buns,brown bread,tea,bottled water,,,,,,,,,,,,,,,,,,,,,True,0,12
3,whole milk,mustard,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
8,sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
9,frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
4,meat,other vegetables,butter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,root vegetables,beverages,instant food products,pickled vegetables,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
6,root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
4,whole milk,whipped/sour cream,semi-finished bread,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
16,citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins,,,,,,,,,,,,,,,,,True,0,16
7,citrus fruit,curd,pastry,margarine,sugar,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
8,other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
3,citrus fruit,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
4,sausage,oil,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
11,frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,True,0,11
4,hard cheese,rolls/buns,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
4,cream cheese,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,turkey,beef,frozen vegetables,dishes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
6,pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
2,whole milk,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
2,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
9,sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
1,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
3,pip fruit,other vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
3,root vegetables,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
11,sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,True,0,11
4,root vegetables,whole milk,pet care,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
6,pork,berries,root vegetables,other vegetables,pastry,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
1,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,pickled vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
7,frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
12,tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,True,0,12
1,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
